FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
2010.1	alpha	0.6556139091960165	0.05488279080102211
2010.1	beta	0.5209400503945094	0.04410621042106433
2010.1	cluster_iv	1.2682522801315328	0.10098877902455283
2010.1	cluster_iva	0.5983169842189857	0.05032774136207088
2010.1	cluster_ivb	0.5885894690432728	0.04955004999444506
2010.1	cluster_ivc	0.5858131021683002	0.049327852460837686
2010.1	cluster_ivd	0.589978139334899	0.04966114876124875
2010.1	cluster_ive	0.6052749692299575	0.050883235196089324
2010.1	delta1a	0.7106307602203683	0.05921564270636596
2010.1	delta1b	0.8020213511065957	0.06632596378180203
2010.1	delta2	2977.596843381295	0.9962226419286746
2010.1	location13	0.5650316463102233	0.04766137095878236
alpha	beta	0.7163021812816857	0.05966003777358071
alpha	cluster_iv	2.914845917194439	0.2051994222864126
alpha	cluster_iva	1.5572054311289938	0.12120875458282412
alpha	cluster_ivb	0.5429447756034927	0.04588379068992334
alpha	cluster_ivc	3.6587352075282076	0.24475058326852572
alpha	cluster_ivd	2.1200589734053077	0.1580935451616487
alpha	cluster_ive	1.5183429104232022	0.11854238417953561
alpha	delta1a	66.58128766110231	0.8550161093211865
alpha	delta1b	55.347383103293424	0.830574380624375
alpha	delta2	0.5017529411368039	0.04255082768581269
alpha	location13	293.8815432718051	0.9630041106543717
beta	cluster_iv	1.4174386132736603	0.11154316187090323
beta	cluster_iva	1.2080166890676174	0.09665592711920898
beta	cluster_ivb	1.104361160730935	0.08910121097655815
beta	cluster_ivc	1.1712349956929662	0.09398955671592045
beta	cluster_ivd	1.2962495891161576	0.10298855682701923
beta	cluster_ive	1.3809955583070237	0.10898789023441839
beta	delta1a	1.1635993760843752	0.09343406288190201
beta	delta1b	1.1119242906834967	0.0896567048105766
beta	delta2	1.1742918658514894	0.09421175424952782
beta	location13	1.1559731081225801	0.09287856904788357
cluster_iv	cluster_iva	1.1149521277187047	0.08987890234418398
cluster_iv	cluster_ivb	1.4700941442907918	0.11520942117542496
cluster_iv	cluster_ivc	1.5264198678679937	0.11909787801355405
cluster_iv	cluster_ivd	1.835989553443417	0.13987334740584378
cluster_iv	cluster_ive	1.7367152219757493	0.13331852016442616
cluster_iv	delta1a	1.1758208634068599	0.09432285301633152
cluster_iv	delta1b	1.4829249038180092	0.11609821130985445
cluster_iv	delta2	1.0143178816444236	0.08243528496833685
cluster_iv	location13	1.084740124958729	0.08765692700811022
cluster_iva	cluster_ivb	0.30928239805120017	0.026663704032885236
cluster_iva	cluster_ivc	0.33582256188503734	0.028885679368959003
cluster_iva	cluster_ivd	0.3384832596233168	0.02910787690256638
cluster_iva	cluster_ive	0.3731834852739444	0.03199644483946228
cluster_iva	delta1a	101610.8658497285	0.9998889012331963
cluster_iva	delta1b	482.02134042530656	0.9771136540384402
