"","Alabama","Arkansas","California","Colorado","Florida","Georgia","Illinois","Indiana","Iowa","Kansas","Kentucky","Maryland","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","South Carolina","South Dakota","Tennessee","Texas","Unknown","Utah","Virginia","Wisconsin","Wyoming"
"Alabama",0,0.446266928499649,0.544331053951817,0.707106781186548,0.942809041582063,1.24721912892465,0.169510611535214,0.57660875934231,0.311488702465209,0.370080905402062,0.942809041582063,0.785674201318386,0.543650214343336,0.303938319941177,0.471404520791032,0.227529614285879,1.24721912892465,0.118676021799162,0.471404520791032,0.740625327729196,0,0.124306510293374,0.316318287111377,0.471404520791032,0.534170939897427,0.424918292799399,0.105149896505606,0.942809041582063,0.513701166914081,0.439101876010955,0.942809041582063,0.408248290463863,0.659966329107444,0.471404520791032
"Arkansas",0.446266928499649,0,0.225845131283281,0.604831247654399,0.501439680491938,1.19495286158373,0.285127038277783,0.203738047517303,0.165402650382927,0.219060919289468,0.501439680491938,0.345355419963998,0.137450840535858,0.15772235304065,0.916338936905719,0.236451806855246,1.22733194937481,0.38386403835336,0.916338936905719,0.478788589149706,0.446266928499649,0.554305893275512,0.130871146554273,0.916338936905719,0.524730824047936,0.782135455543933,0.38074251632742,0.501439680491938,0.295340594733178,0.146075141428935,0.501439680491938,0.812365979837906,0.221559951244322,0.916338936905719
"California",0.544331053951817,0.225845131283281,0,0.59317101400174,0.544331053951817,0.981306762925316,0.381848249465518,0.067485052443144,0.250651118220552,0.210635429001432,0.544331053951817,0.415739709641549,0.118634202800348,0.283503797801802,0.981306762925316,0.324302273852392,1.18634202800348,0.473665271125114,0.981306762925316,0.253566683975356,0.544331053951817,0.620531085944533,0.291250880353336,0.981306762925316,0.370392285128555,0.766787430102348,0.471517382969137,0.544331053951817,0.340206908719886,0.177736923410289,0.544331053951817,0.827759134763963,0.331103653905585,0.981306762925316
"Colorado",0.707106781186548,0.604831247654399,0.59317101400174,0,0.849836585598797,1.17851130197758,0.607218373150371,0.603583355753609,0.551925544248002,0.483923649727343,0.849836585598797,0.749485420179558,0.60184900284226,0.550619824736836,1.02740233382816,0.581886097791859,0.623609564462324,0.589421183436266,1.02740233382816,0.680537503898915,0.707106781186548,0.755271425628385,0.594938097416832,1.02740233382816,0.672313364211636,0.874007373475126,0.605085914976754,0.849836585598797,0.311804782231162,0.481690921432872,0.849836585598797,0.912870929175277,0.684754619472471,1.02740233382816
"Florida",0.942809041582063,0.501439680491938,0.544331053951817,0.849836585598797,0,1.4142135623731,0.785461541375667,0.477083585436138,0.659832768909639,0.672141868475715,0,0.157134840263677,0.454606056566195,0.652802428008825,1.4142135623731,0.736699258672426,1.4142135623731,0.877699492755788,1.4142135623731,0.66463040210467,0.942809041582063,1.05490166136236,0.628465586110446,1.4142135623731,0.912330608956779,1.2747548783982,0.876666654687204,0,0.612372435695794,0.568796458994521,0,1.31233464566864,0.282842712474619,1.4142135623731
"Georgia",1.24721912892465,1.19495286158373,0.981306762925316,1.17851130197758,1.4142135623731,0,1.17436618999119,1.03274394617157,1.12535351791975,1.0443483998393,1.4142135623731,1.34256066373273,1.09848380355227,1.17081810783519,1.4142135623731,1.14462555370462,1.4142135623731,1.20323553572128,1.4142135623731,0.763594347533794,1.24721912892465,1.21817549464912,1.20070727693629,1.4142135623731,0.724330609837207,1.06066017177982,1.20283219652854,1.4142135623731,1.17260393995586,1.09812674721144,1.4142135623731,1.17851130197758,1.29614813968157,1.4142135623731
"Illinois",0.169510611535214,0.285127038277783,0.381848249465518,0.607218373150371,0.785461541375667,1.17436618999119,0,0.41025613331217,0.142019145463212,0.210891882211653,0.785461541375667,0.62885375506863,0.376281732596734,0.137862012996704,0.633476535722603,0.0587028685751811,1.1893638909859,0.112347248164957,0.633476535722603,0.594764017988146,0.169510611535214,0.270952091283551,0.158175547152717,0.633476535722603,0.450470259683003,0.520339675627313,0.103354272420407,0.785461541375667,0.370735300602975,0.271119110294938,0.785461541375667,0.535246343298003,0.50380390098372,0.633476535722603
"Indiana",0.57660875934231,0.203738047517303,0.067485052443144,0.603583355753609,0.477083585436138,1.03274394617157,0.41025613331217,0,0.272559603649464,0.246961058220067,0.477083585436138,0.348755085523863,0.0711472488097733,0.296863376937386,1.02546515540304,0.352206442904989,1.20357074169495,0.505456217649705,1.02546515540304,0.285388238519403,0.57660875934231,0.661726350427454,0.296668674375155,1.02546515540304,0.43774219887685,0.824817618202863,0.503460848241853,0.477083585436138,0.337408806270347,0.184564118475932,0.477083585436138,0.881077684469071,0.269077600300057,1.02546515540304
"Iowa",0.311488702465209,0.165402650382927,0.250651118220552,0.551925544248002,0.659832768909639,1.12535351791975,0.142019145463212,0.272559603649464,0,0.104004470920807,0.659832768909639,0.505499898723617,0.238012075094821,0.0465282528114162,0.771047886222623,0.084366679263396,1.1588966155105,0.236365756387472,0.771047886222623,0.481487706792873,0.311488702465209,0.406826595771728,0.0830069172779107,0.771047886222623,0.417770421942376,0.622487965514088,0.234019408001503,0.659832768909639,0.277630498209398,0.133984331653895,0.659832768909639,0.654768163534438,0.383674855719324,0.771047886222623
"Kansas",0.370080905402062,0.219060919289468,0.210635429001432,0.483923649727343,0.672141868475715,1.0443483998393,0.210891882211653,0.246961058220067,0.104004470920807,0,0.672141868475715,0.525213066699695,0.23593130408429,0.13887024876609,0.803877562693766,0.157677665483954,1.08351138138012,0.278642860360648,0.803877562693766,0.411846343649079,0.370080905402062,0.445499316091803,0.182044943170783,0.803877562693766,0.351945196218193,0.618328591376446,0.280665674920664,0.672141868475715,0.236519255082311,0.106842005942615,0.672141868475715,0.665218334157114,0.413114488062224,0.803877562693766
"Kentucky",0.942809041582063,0.501439680491938,0.544331053951817,0.849836585598797,0,1.4142135623731,0.785461541375667,0.477083585436138,0.659832768909639,0.672141868475715,0,0.157134840263677,0.454606056566195,0.652802428008825,1.4142135623731,0.736699258672426,1.4142135623731,0.877699492755788,1.4142135623731,0.66463040210467,0.942809041582063,1.05490166136236,0.628465586110446,1.4142135623731,0.912330608956779,1.2747548783982,0.876666654687204,0,0.612372435695794,0.568796458994521,0,1.31233464566864,0.282842712474619,1.4142135623731
"Maryland",0.785674201318386,0.345355419963998,0.415739709641549,0.749485420179558,0.157134840263677,1.34256066373273,0.62885375506863,0.348755085523863,0.505499898723617,0.525213066699695,0.157134840263677,0,0.31308895119123,0.497056806220209,1.25707872210942,0.580898438237249,1.34256066373273,0.721702299581594,1.25707872210942,0.579720190025946,0.785674201318386,0.898034793636077,0.471550895564495,1.25707872210942,0.785953089406677,1.12285460730043,0.720305245156138,0.157134840263677,0.482726311027299,0.422239421734306,0.157134840263677,1.15737036977776,0.125707872210942,1.25707872210942
"Michigan",0.543650214343336,0.137450840535858,0.118634202800348,0.60184900284226,0.454606056566195,1.09848380355227,0.376281732596734,0.0711472488097733,0.238012075094821,0.23593130408429,0.454606056566195,0.31308895119123,0,0.25332730888958,1.00332779621949,0.319539735697678,1.21380943040221,0.474207263352245,1.00332779621949,0.356153713655299,0.543650214343336,0.638054110394347,0.245362258273271,1.00332779621949,0.47828589405261,0.825631071766722,0.471961144577791,0.454606056566195,0.313581462037113,0.155928590996636,0.454606056566195,0.873053390247253,0.216024689946929,1.00332779621949
"Minnesota",0.303938319941177,0.15772235304065,0.283503797801802,0.550619824736836,0.652802428008825,1.17081810783519,0.137862012996704,0.296863376937386,0.0465282528114162,0.13887024876609,0.652802428008825,0.497056806220209,0.25332730888958,0,0.769518625604707,0.089893151551891,1.16064621078734,0.228208801550937,0.769518625604707,0.520903001467411,0.303938319941177,0.408056601623008,0.0535192017875408,0.769518625604707,0.462827295829254,0.641734327251636,0.226577730963435,0.652802428008825,0.269981740954827,0.148130639533329,0.652802428008825,0.666451167344726,0.3732995995737,0.769518625604707
"Mississippi",0.471404520791032,0.916338936905719,0.981306762925316,1.02740233382816,1.4142135623731,1.4142135623731,0.633476535722603,1.02546515540304,0.771047886222623,0.803877562693766,1.4142135623731,1.25707872210942,1.00332779621949,0.769518625604707,0,0.687719678261453,1.4142135623731,0.550104048430745,0,1.12631642759783,0.471404520791032,0.365289025083022,0.786935866729753,0,0.823711713036359,0.353553390593274,0.546789910339565,1.4142135623731,0.935414346693485,0.891132788679007,1.4142135623731,0.235702260395516,1.13137084989848,0
