FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
2010.1	alpha	0.695357684478871	0.06965892678591268
2010.1	beta	0.6032349981534736	0.06099322297522498
2010.1	cluster_iv	0.6396435138513401	0.06443728474613931
2010.1	cluster_iva	0.5659310957712457	0.057438062437506945
2010.1	cluster_ivb	0.5915472208914928	0.05988223530718809
2010.1	cluster_ive	0.8429392424357856	0.08321297633596267
2010.1	delta1a	0.6079178566378903	0.06143761804243973
2010.1	delta1b	0.7180583518999194	0.07176980335518275
2010.1	delta2	0.5242991526020655	0.05343850683257416
2010.1	gamma	1769.2650815074285	0.9947783579602266
alpha	beta	1.0381300295758298	0.10054438395733807
alpha	cluster_iv	5.036537887724189	0.351627596933674
alpha	cluster_iva	1.0971305561501756	0.10565492723030774
alpha	cluster_ivb	1.062418348364947	0.10265526052660816
alpha	cluster_ive	1.3793573955299232	0.12931896455949338
alpha	delta1a	1.0945512981578545	0.10543272969670037
alpha	delta1b	1.5410101654038044	0.14231752027552494
alpha	delta2	0.9936855300963231	0.09665592711920898
alpha	gamma	0.9421061671873323	0.09210087768025775
beta	cluster_iv	1.2039949637205776	0.1147650261082102
beta	cluster_iva	1.2317173871228377	0.11709810021108766
beta	cluster_ivb	1.2251035292832642	0.11654260637706922
beta	cluster_ive	1.4464670072796366	0.13476280413287411
beta	delta1a	1.2211392053422643	0.11620931007665815
beta	delta1b	1.617283385265829	0.14831685368292413
beta	delta2	1.0932621495897317	0.10532163092989667
beta	gamma	1.1437773413230052	0.10965448283524053
cluster_iv	cluster_iva	1.1281819172578305	0.10832129763359627
cluster_iv	cluster_ivb	1.0215772859629753	0.09910009998889012
cluster_iv	cluster_ive	1.5214094914952527	0.1407621375402733
cluster_iv	delta1a	1.17903838620606	0.11265414953894012
cluster_iv	delta1b	1.4368282639958008	0.1339851127652483
cluster_iv	delta2	1.040681324893475	0.10076658149094544
cluster_iv	gamma	1.0598563034412438	0.10243306299300078
cluster_iva	cluster_ivb	0.7529064895064776	0.07499166759248972
cluster_iva	cluster_ive	0.9747548015466709	0.09498944561715365
cluster_iva	delta1a	0.7132706880775317	0.071325408287968
cluster_iva	delta1b	2.08918731435834	0.18364626152649705
cluster_iva	delta2	3086.7110397507067	0.9970003332963004
cluster_iva	gamma	0.6479019212014118	0.06521497611376514
cluster_ivb	cluster_ive	1.627249401526882	0.14909454505054995
cluster_ivb	delta1a	1.4368282639958008	0.1339851127652483
cluster_ivb	delta1b	1.4533624390721422	0.13531829796689257
cluster_ivb	delta2	1.3766360485426892	0.12909676702588602
cluster_ivb	gamma	1.377996548436728	0.1292078657926897
cluster_ive	delta1a	1.903392102697597	0.17009221197644706
cluster_ive	delta1b	1.8630907069342153	0.16709254527274747
cluster_ive	delta2	1.3522062703766469	0.1270969892234196
cluster_ive	gamma	1.2423168878237394	0.11798689034551717
delta1a	delta1b	81.37675376901468	0.8975669370069992
delta1a	delta2	0.5346741204626966	0.054438395733807356
delta1a	gamma	0.532366676261734	0.054216198200199975
delta1b	delta2	0.34566590977897127	0.035884901677591376
delta1b	gamma	0.3124804664026035	0.032551938673480725
delta2	gamma	1.496312653385895	0.1387623597378069
alpha	2010.1	1.1646440369214204	0.11143206310409955
beta	2010.1	1.2769132803711576	0.12087545828241307
cluster_iv	2010.1	1.2555963417381781	0.11909787801355405
cluster_iva	2010.1	0.8441669604534041	0.08332407510276636
cluster_ivb	2010.1	1.6802310108592198	0.15320519942228641
cluster_ive	2010.1	1.6258245697354377	0.14898344628374624
delta1a	2010.1	73.47734089939539	0.8877902455282747
delta1b	2010.1	89.87311623082496	0.9063437395844907
delta2	2010.1	1.7453654560130705	0.1582046439284524
gamma	2010.1	1.610175938058033	0.14776135984890568
beta	alpha	1.1281819172578305	0.10832129763359627
