sequence accession,strain_name,state,subtype,NA_clade,HA_clade
HQ840337,A/swine/South_Dakota/152B/2009,South Dakota,H1N2,N2.2002,delta2
CY158371,A/swine/Missouri/SG1343/2009,Missouri,H1N2,N2.2002,delta2
HQ734193,A/swine/Illinois/53612-3/2009,Illinois,H3N2,N2.2002,cluster_iv
KF739392,A/swine/Illinois/02907/2009,Illinois,H3N2,N2.2002,cluster_iv
HQ734196,A/swine/Illinois/53612-4/2009,Illinois,H3N2,N2.2002,cluster_iv
HQ734199,A/swine/Illinois/53612-5/2009,Illinois,H3N2,N2.2002,cluster_iv
HQ424889,A/swine/North_Carolina/44837-2/2009,North Carolina,H1N2,N2.2002A,delta1b
GU480921,A/swine/SD/31813/2009,South Dakota,H1N2,N2.2002A,delta1a
HQ424892,A/swine/Minnesota/44837-3/2009,Minnesota,H1N2,N2.2002,delta2
CY086922,A/swine/Minnesota/239105/2009,Minnesota,H3N2,N2.2002B,cluster_ive
CY159435,A/swine/Arkansas/02927/2009,Arkansas,H1N2,N2.2002,delta2
JQ906899,A/swine/Indiana/A01076177/2009,Indiana,H1N2,N2.2002,delta2
CY107017,A/swine/North_Carolina/A01076178/2009,North Carolina,H3N2,N2.1998,unknown
JQ906903,A/swine/Kansas/A01076181/2009,Kansas,H1N2,N2.2002A,delta1b
HQ424895,A/swine/North_Carolina/44837-4/2009,North Carolina,H1N2,N2.1998B,delta2
JX657804,A/swine/Minnesota/A01076183/2009,Minnesota,H1N2,N2.2002A,delta1a
CY114717,A/swine/North_Carolina/A01076184/2010,North Carolina,H1N2,N2.2002,pdmh1
JQ906902,A/swine/Iowa/A01076186/2010,Iowa,H1N2,N2.2002,delta-like
JQ906928,A/swine/North_Carolina/A01076185/2010,North Carolina,H1N2,N2.1998B,delta2
CY158403,A/swine/North_Carolina/SG1357/2010,North Carolina,H1N2,N2.1998B,delta2
KY354176,A/swine/Iowa/02955/2010,Iowa,H1N2,N2.2002B,delta2
JQ906922,A/swine/Minnesota/A01134528/2010,Minnesota,H1N2,N2.2002A,delta1b
CY107022,A/swine/Indiana/A01076191/2010,Indiana,H3N2,N2.2002B,cluster_iv
JX122440,A/swine/Minnesota/A01076193/2010,Minnesota,H3N2,N2.2002B,cluster_ivb
JQ906929,A/swine/North_Carolina/A01076192/2010,North Carolina,H1N2,N2.1998B,delta2
CY160001,A/swine/North_Carolina/SG1359/2010,North Carolina,H1N2,N2.1998B,delta2
CY086882,A/swine/Indiana/240218/2010,Indiana,H1N2,N2.1998,beta
CY107030,A/swine/Minnesota/A01076196/2010,Minnesota,H3N2,N2.2002B,cluster_ivb
JQ023764,A/swine/Minnesota/0745/2010,Minnesota,H1N2,N2.2002A,delta1b
JX122445,A/swine/Minnesota/A01076197/2010,Minnesota,H1N2,N2.2002A,delta1b
CY159985,A/swine/Oklahoma/02985/2010,Oklahoma,H3N2,N2.2002A,cluster_iv
CY107037,A/swine/North_Carolina/A01076199/2010,North Carolina,H3N2,N2.2002B,cluster_iv
JQ906930,A/swine/North_Carolina/A01076200/2010,North Carolina,H1N2,N2.1998B,delta2
JX048045,A/swine/North_Carolina/A01076202/2010,North Carolina,H1N2,N2.1998B,delta2
